Date,Open,High,Low,Close,Volume
1/3/2022 16:00,177.83,182.88,177.71,182.01,104701220
1/4/2022 16:00,182.63,182.94,179.12,179.7,99310438
1/5/2022 16:00,179.61,180.17,174.64,174.92,94537602
1/6/2022 16:00,172.7,175.3,171.64,172,96903955
1/7/2022 16:00,172.89,174.14,171.03,172.17,86709147
1/10/2022 16:00,169.08,172.5,168.17,172.19,106765552
1/11/2022 16:00,172.32,175.18,170.82,175.08,76138312
1/12/2022 16:00,176.12,177.18,174.82,175.53,74805173
1/13/2022 16:00,175.78,176.62,171.79,172.19,84505760
1/14/2022 16:00,171.34,173.78,171.09,173.07,80440780
1/18/2022 16:00,171.51,172.54,169.41,169.8,91168729
1/19/2022 16:00,170,171.08,165.94,166.23,94814990
1/20/2022 16:00,166.98,169.68,164.18,164.51,91420515
1/21/2022 16:00,164.42,166.33,162.3,162.41,122848858
1/24/2022 16:00,160.02,162.3,154.7,161.62,162706686
1/25/2022 16:00,158.98,162.76,157.02,159.78,115798367
1/26/2022 16:00,163.5,164.39,157.82,159.69,108275308
1/27/2022 16:00,162.45,163.84,158.28,159.22,121954638
1/28/2022 16:00,165.71,170.35,162.8,170.33,179935660
1/31/2022 16:00,170.16,175,169.51,174.78,115541590
2/1/2022 16:00,174.01,174.84,172.31,174.61,86213911
2/2/2022 16:00,174.75,175.88,173.33,175.84,84914256
2/3/2022 16:00,174.48,176.24,172.12,172.9,89418074
2/4/2022 16:00,171.68,174.1,170.68,172.39,82465400
2/7/2022 16:00,172.86,173.95,170.95,171.66,77251204
2/8/2022 16:00,171.73,175.35,171.43,174.83,74829217
2/9/2022 16:00,176.05,176.65,174.9,176.28,71285038
2/10/2022 16:00,174.14,175.48,171.55,172.12,90865899
2/11/2022 16:00,172.33,173.08,168.04,168.64,98670687
2/14/2022 16:00,167.37,169.58,166.56,168.88,86185530
2/15/2022 16:00,170.97,172.95,170.25,172.79,64286320
2/16/2022 16:00,171.85,173.34,170.05,172.55,61177398
2/17/2022 16:00,171.03,171.91,168.47,168.88,69589344
2/18/2022 16:00,169.82,170.54,166.19,167.3,82772674
2/22/2022 16:00,164.98,166.69,162.15,164.32,91162758
2/23/2022 16:00,165.54,166.15,159.75,160.07,90009247
2/24/2022 16:00,152.58,162.85,152,162.74,141147540
2/25/2022 16:00,163.84,165.12,160.87,164.85,91974222
2/28/2022 16:00,163.06,165.42,162.43,165.12,95056629
3/1/2022 16:00,164.7,166.6,161.97,163.2,83474425
3/2/2022 16:00,164.39,167.36,162.95,166.56,79724750
3/3/2022 16:00,168.47,168.91,165.55,166.23,76678441
3/4/2022 16:00,164.49,165.55,162.1,163.17,83819592
3/7/2022 16:00,163.36,165.02,159.04,159.3,96418845
3/8/2022 16:00,158.82,162.88,155.8,157.44,131148280
3/9/2022 16:00,161.48,163.41,159.41,162.95,91454905
